id,group,cx,cy,cz,dx,dy,dz,delta,shade_start,shade_end
0,0,0.00456899499110637,-0.10951739974062845,-0.08171895278172234,0.42277116761725153,0.8073366694639208,0.41166982154446274,0.06,0.22225088926116607,0.9422508892611661
1,1,0.06313174754911816,0.04640947485743204,-0.12227233479183813,-0.9996610634474703,-0.018505391356200045,0.01831143680399329,0.06,0.12572518084256282,0.8457251808425628
2,2,-0.0347401254955603,0.0404233050588699,0.1009507477509107,-0.6629533221938931,0.7394077935746989,0.11734141380209992,0.06,0.19050308009887637,0.9105030800988764
3,3,-0.06619478080871184,-0.03320594544367916,0.04345031079174236,-0.480565396046882,0.43353483525068087,0.7623020705379651,0.06,0.0326342845010893,0.7526342845010893
4,4,0.009058887302262328,-0.010277996686220106,-0.0941389880557707,0.6479574590301044,-0.27693066177577824,0.7095495330529646,0.06,0.22879806037822895,0.9487980603782289
5,5,0.05036973592077494,0.05409702124370171,-0.1880579939832577,-0.3053884093282995,0.08949683981910699,0.9480127821450111,0.06,0.06735571774060714,0.7873557177406071
6,6,-0.11168540317216877,0.048789356620263805,-0.045294856328383225,-0.7489632724093009,-0.6055122465525644,0.26908908535430753,0.06,0.20948502535106264,0.9294850253510626
7,7,0.1556341732101995,-0.0026752983968840044,-0.1419277233211093,-0.7700259423052555,0.1807767909416763,0.6118658349946767,0.06,0.24697728561506388,0.9669772856150638
8,8,-0.03336463730401589,-0.0014487798522386987,-0.00885961448210403,0.7442303579911603,-0.4147070706632395,0.523583059109311,0.06,0.24953961720361692,0.9695396172036169
9,9,-0.00010264305037971377,0.08611231519935604,0.15485844027215598,-0.4369935784095488,0.783147318838062,0.4423990160766326,0.06,0.014164445541159677,0.7341644455411597
10,10,0.07376356326646197,-0.10508157711306976,0.0951055667376328,0.1617825228122998,-0.8132582704295883,0.5589610012249175,0.06,0.2079058630645469,0.9279058630645469
11,11,0.07176004100397079,-0.06873051413082085,-0.0740874492602361,-0.2477123900871,0.6308742782349287,0.7352796861459552,0.06,0.1743861218713948,0.8943861218713948
12,12,0.04320062864739292,0.20190314745009535,-0.05111123792083769,-0.38085372314479593,-0.3423897054960784,0.8589061247523246,0.06,0.2139062910809984,0.9339062910809983
13,13,-0.12432027185376847,0.08547001585325413,-0.07657242752106132,-0.8650950338864802,0.16545942161671662,0.4735332745892429,0.06,0.1351307973229404,0.8551307973229404
14,14,-0.18553366311056863,-0.006117367058428247,-0.06019985527066782,0.8466200453840559,0.4277520520566077,0.31664282830226936,0.06,0.033505703412751144,0.7535057034127511
15,15,0.04414748307685431,0.003514427580733434,0.07038362270586171,0.3260989801867358,0.7734475878659017,0.5435423478861507,0.06,0.09092039640272807,0.8109203964027281
16,16,-0.18005615418043083,0.06155308293700193,0.10131620236107682,0.037990836011685285,0.9728630710348249,0.22824141034400935,0.06,0.23723662624862377,0.9572366262486237
17,17,0.053784434605854525,0.01711940735694153,0.014362594828738888,-0.15851978765925556,-0.4966800419697134,0.8533348773075131,0.06,0.04199401506152609,0.7619940150615261
18,18,-0.09568313325426474,0.23958229981861623,-0.05992654539012689,0.8766539191906368,-0.4543441297014146,0.15826976266349982,0.06,0.19166903644269637,0.9116690364426964
19,19,-0.015103643530028021,-0.0025982802313698414,0.15560949152535208,0.6146001376072983,0.35819084731514256,0.7028271393114742,0.06,0.21834189355838504,0.938341893558385
20,20,0.04889928869244643,0.03060075026820301,-0.10594328355693505,0.5582580615334378,0.4920772450613423,0.6679879651803379,0.06,0.041394752642856594,0.7613947526428566
